Title,Named-entity,Frequency
Germany,Germany,65
Germany,image_flag  Flag,1
Germany,Germany.svg,2
Germany,Europe,11
Germany,the European Union,4
Germany,Berlin,6
Germany,German,41
Germany,Walter Steinmeier,1
Germany,Olaf Scholz,2
Germany,Bundesrat,1
Germany,18 January 1871,1
Germany,9,1
Germany,November 1918,1
Germany,established_event3,1
Germany,Nazi,3
Germany,established_date3,1
Germany,March 1933,1
Germany,23,1
Germany,May 1949,1
Germany,October 1990,1
Germany,"357,022",1
Germany,63rd,1
Germany,"137,847",1
Germany,1.27,1
Germany,2015,1
Germany,"83,190,556",1
Germany,2020,2
Germany,232,1
Germany,601,1
Germany,population_density_rank,1
Germany,58th,1
Germany,5th,1
Germany,2021,2
Germany,"56,956",1
Germany,GDP_PPP_per_capita_rank,1
Germany,15th,1
Germany,$4.319 trillion,1
Germany,GDP_nominal_rank,1
Germany,4th GDP_nominal_year,1
Germany,"51,860",1
Germany,GDP_nominal_per_capita_rank,1
Germany,Gini,1
Germany,29.7,1
Germany,Gini_change,1
Germany,HDI,1
Germany,0.947,1
Germany,6th,1
Germany,today,1
Germany,drives_on  RightGermany,1
Germany,83 million,1
Germany,16,2
Germany,Denmark,2
Germany,Poland,1
Germany,the Czech Republic,1
Germany,Austria,6
Germany,Switzerland,2
Germany,France,3
Germany,Luxembourg,1
Germany,Belgium,1
Germany,Netherlands,1
Germany,Frankfurt,1
Germany,the Ruhr,1
Germany,Germanic,5
Germany,Germania,2
Germany,AD 100,1
Germany,the 10th century,1
Germany,the Holy Roman Empire,2
Germany,the 16th century,1
Germany,the Protestant Reformation,1
Germany,the Napoleonic Wars,1
Germany,1806,1
Germany,the German Confederation,2
Germany,1815,1
Germany,1871,2
Germany,Prussian,2
Germany,German Empire,1
Germany,World War I,1
Germany,the German Revolution of 19181919,1
Germany,Empire,1
Germany,Weimar Republic,2
Germany,1933,1
Germany,World War II,2
Germany,Holocaust,2
Germany,the end of,1
Germany,Allied,1
Germany,the Federal Republic of Germany,3
Germany,West Germany,6
Germany,the German Democratic Republic,2
Germany,East Germany,3
Germany,The Federal Republic of Germany,1
Germany,the European Economic Community,1
Germany,Eastern Bloc,2
Germany,the Warsaw Pact,2
Germany,East German,1
Germany,3 October,1
Germany,fourth,2
Germany,fifth,1
Germany,PPP,1
Germany,third,4
Germany,the Human Development Index,1
Germany,the United Nations,1
Germany,NATO,1
Germany,G7,1
Germany,G20,1
Germany,OECD,1
Germany,UNESCO World Heritage Sites,1
Germany,English,1
Germany,Latin,1
Germany,11 million years ago,1
Germany,two,1
Germany,Frankish Empire,1
Germany,the Nordic Bronze Age,1
Germany,the Pre-Roman Iron Age,1
Germany,Augustus,1
Germany,the Roman Empire,1
Germany,Roman province,1
Germany,Rhine,2
Germany,Elbe,2
Germany,9AD,1
Germany,three,2
Germany,Arminius,1
Germany,East Francia,1
Germany,Holy Roman Empire,1
Germany,the Carolingian Empire,1
Germany,800,1
Germany,11381254,1
Germany,Johannes Gutenberg,1
Germany,Westphalia,1
Germany,Imperial Estates,1
Germany,Roman Catholicism,1
Germany,the Reformation on the Holy Roman Empire,1
Germany,1740,1
Germany,Austrian,2
Germany,Habsburg,1
Germany,the Kingdom of Prussia,1
Germany,1772,1
Germany,1793,1
Germany,1795,1
Germany,Prussia,4
Germany,the Russian Empire,1
Germany,the Partitions of Poland,1
Germany,German Confederation,1
Germany,Napoleon,1
Germany,the Congress of Vienna,1
Germany,39,1
Germany,the Emperor of Austria,1
Germany,Congress,1
Germany,Klemens von Metternich,1
Germany,William I,1
Germany,William,1
Germany,Otto von Bismarck,1
Germany,1862,1
Germany,Bismarck,1
Germany,1864,1
Germany,Austro-Prussian War,1
Germany,1866,1
Germany,the North German Confederation,1
Germany,the Franco-Prussian War,1
Germany,the German Empire,1
Germany,the King of Prussia,1
Germany,Kaiser,1
Germany,the 20th century's,1
Germany,first,5
Germany,28 June 1914,1
Germany,Serbia,1
Germany,World War I.,1
Germany,four years,1
Germany,11 August 1919,1
Germany,Friedrich Ebert,1
Germany,Great Depression,1
Germany,1929,1
Germany,Heinrich Brning's,1
Germany,Weimar Republic#Brning's,1
Germany,nearly 30%,1
Germany,1932.In 1935,1
Germany,the Treaty of Versailles,1
Germany,the Nuremberg Laws,1
Germany,Jews,2
Germany,August 1939,1
Germany,Hitler,1
Germany,MolotovRibbentrop,1
Germany,Eastern Europe,1
Germany,Soviet,1
Germany,17 million,1
Germany,6million,1
Germany,"at least 130,000",1
Germany,Romani,1
Germany,"275,000",1
Germany,thousands,2
Germany,Jehovah's Witnesses,1
Germany,hundreds of thousands,1
Germany,East,3
Germany,Allies,1
Germany,four,1
Germany,the United Kingdom,1
Germany,the United States,2
Germany,23 May 1949,1
Germany,1948,1
Germany,the Marshall Plan,1
Germany,USSR,1
Germany,the late 1960s,1
Germany,Willy Brandt,1
Germany,Reunified Germany,1
Germany,the European Union United Germany,1
Germany,the Maastricht Treaty,1
Germany,1992,1
Germany,the Lisbon Treaty,1
Germany,"2007,In the 2005",1
Germany,Angela Merkel,1
Germany,2009,1
Germany,50billion,1
Germany,Geography Germany,1
Germany,seventh,1
Germany,Alps,2
Germany,Zugspitze,1
Germany,Danube,1
Germany,Winters,1
Germany,the Southern Alps,1
Germany,the North Sea,1
Germany,February 2019,1
Germany,monthly,1
Germany,five,1
Germany,Atlantic,1
Germany,Baltic,1
Germany,Central European,1
Germany,Western European,1
Germany,Central Europe,1
Germany,the National Forest Inventory,1
Germany,"beeches, oaks",1
Germany,just over 40%,1
Germany,roughly 60%,1
Germany,the Jasmund National Park,1
Germany,the Vorpommern Lagoon Area National Park,1
Germany,the Mritz National Park,1
Germany,the Wadden Sea National Parks,1
Germany,the Harz National Park,1
Germany,the Hainich National Park,1
Germany,the Black Forest National Park,1
Germany,the Saxon Switzerland National Park,1
Germany,the Bavarian Forest National Park,1
Germany,the Berchtesgaden National Park,1
Germany,"center;""Frank-Walter SteinmeierPresident",1
Germany,Frank-Walter Steinmeier,1
Germany,Cabinet,1
Germany,1949,1
Germany,the Christian Democratic Union,1
Germany,the Social Democratic Party,1
Germany,one,2
Germany,Free Democratic Party,1
Germany,Alliance,1
Germany,Greens,1
Germany,2007,1
Germany,sixteen,1
Germany,State,1
Germany,2015)-,1
Germany,Baden-Wrttemberg,1
Germany,Stuttgart,1
Germany,"right""11,069",1
Germany,"right""42,800-",1
Germany,Bavaria Munich,1
Germany,"right""70",1
Germany,"Berlin Berlinstyle""text",1
Germany,Brandenburg,2
Germany,Potsdam,2
Germany,Bremen,2
Germany,"right""47,600- Hamburg Hamburgstyle""text",1
Germany,"right""61,800- Hesse",1
Germany,Wiesbaden,1
Germany,"right""21",1
Germany,Mecklenburg-Vorpommern Schwerin,1
Germany,Lower Saxony Hanover,1
Germany,North Rhine-Westphalia Dsseldorf,1
Germany,"right""36,500- Rhineland-Palatinate",1
Germany,Mainz,1
Germany,"right""32,800-",1
Germany,Saarland Saarbrcken,1
Germany,"right""35,400- Saxony Dresden",1
Germany,Saxony,2
Germany,Magdeburg,1
Germany,Schleswig-Holstein Kiel,1
Germany,Thuringia,1
Germany,Erfurt,1
Germany,"right""83,019",1
Germany,Law Germany,1
Germany,Roman,1
Germany,1.18,1
Germany,"100,000",1
Germany,227,2
Germany,the Federal Ministry for Economic Cooperation and Development,1
Germany,Economy Germany,1
Germany,European,1
Germany,more than 450 million,1
Germany,500,1
Germany,2019,1
Germany,the Fortune Global 500,1
Germany,29,1
Germany,ninth,1
Germany,Cologne Cathedral,1
Germany,the Brandenburg Gate,1
Germany,Reichstag,1
Germany,the Dresden Frauenkirche,1
Germany,Neuschwanstein Castle,1
Germany,Heidelberg Castle,1
Germany,Wartburg,1
Germany,Sanssouci Palace,1
Germany,2011,4
Germany,second,3
Germany,Russia,1
Germany,588 per square mile,1
Germany,80.19 years,1
Germany,77.93 years,1
Germany,82.58 years,1
Germany,1.41,1
Germany,2.1,1
Germany,the 1970s,1
Germany,the beginning of the 2010s,1
Germany,47.4 years,1
Germany,Four,1
Germany,centuries,1
Germany,Danish,2
Germany,Schleswig-Holstein,1
Germany,Sorbs,1
Germany,Slavic,1
Germany,Lusatia,1
Germany,Roma,1
Germany,Sinti,1
Germany,Frisians,1
Germany,Schleswig-Holstein's,1
Germany,Lower Saxony,1
Germany,22.5%,1
Germany,2016,1
Germany,11,1
Germany,Demographia: World Urban Areas,1
Germany,31 July 2016,1
Germany,Christianity,1
Germany,66.8%,1
Germany,Christian,1
Germany,3.8%,1
Germany,1.9%,1
Germany,1.52million,1
Germany,Islam,1
Germany,Judaism,1
Germany,Muslims,1
Germany,Sunnis,1
Germany,Turkey,1
Germany,Shi'ites,1
Germany,Ahmadiyyas,1
Germany,less than one percent,1
Germany,2018,2
Germany,38%,1
Germany,Sorbian,1
Germany,Romany,1
Germany,North Frisian,1
Germany,Saterland Frisian,1
Germany,the European Charter for Regional or Minority Languages,1
Germany,Turkish,1
Germany,Arabic,1
Germany,Kurdish,1
Germany,Polish,1
Germany,Balkan,1
Germany,Russian,1
Germany,Germans,1
Germany,67%,1
Germany,at least one,1
Germany,27%,1
Germany,at least two,1
Germany,Education Responsibility,1
Germany,between three and six years old,1
Germany,at least nine years,1
Germany,four to six years,1
Germany,eleven,2
Germany,Universities of Excellence,1
Germany,20th,2
Germany,2013,2
Germany,77 years,1
Germany,82 years,1
Germany,4,1
Germany,"1,000",1
Germany,Oktoberfest,1
Germany,Christmas,3
Germany,Stollen,1
Germany,Dieterich Buxtehude,1
Germany,Sebastian Bach,1
Germany,Georg Friedrich Hndel,1
Germany,Ludwig van Beethoven,1
Germany,Carl Maria von Weber,1
Germany,Felix Mendelssohn,1
Germany,Robert Schumann,1
Germany,Johannes Brahms,1
Germany,Richard Wagner,1
Germany,Richard Strauss,1
Germany,Karlheinz Stockhausen,1
Germany,Wolfgang Rihm,1
Germany,the 20th and early 21st centuries,1
Germany,David Friedrich - Wanderer,1
Germany,Friedrich,1
Germany,the Sea of Fog,1
Germany,Marc 020.jpgcaption2Franz,1
Germany,Roe Deer,1
Germany,Forest,1
Germany,1914)German,1
Germany,Albrecht Drer,1
Germany,Hans Holbein,1
Germany,Matthias Grnewald,1
Germany,Lucas Cranach,1
Germany,Renaissance,2
Germany,Johann Baptist Zimmermann,1
Germany,Caspar David Friedrich,1
Germany,Carl Spitzweg,1
Germany,Max Liebermann,1
Germany,Max Ernst,1
Germany,the 20th century,2
Germany,Carolingian,1
Germany,Ottonian,1
Germany,Romanesque,1
Germany,Brick Gothic,1
Germany,Baroque,1
Germany,Weser Renaissance,1
Germany,the Middle Ages,1
Germany,Walther von der Vogelweide,1
Germany,Wolfram von Eschenbach,1
Germany,Johann Wolfgang von Goethe,1
Germany,Friedrich Schiller,1
Germany,Gotthold Ephraim Lessing,1
Germany,Theodor Fontane,1
Germany,Brothers Grimm,1
Germany,Gerhart Hauptmann,1
Germany,Thomas Mann,1
Germany,Hermann Hesse,1
Germany,Heinrich Bll,1
Germany,Gnter Grass,1
Germany,Gottfried Leibniz's,1
Germany,Immanuel Kant,1
Germany,Johann Gottlieb Fichte,1
Germany,Georg Wilhelm Friedrich Hegel,1
Germany,Friedrich Wilhelm Joseph Schelling,1
Germany,Arthur Schopenhauer's,1
Germany,Karl Marx,1
Germany,Friedrich Engels,1
Germany,Friedrich Nietzsche's,1
Germany,Gottlob Frege's,1
Germany,Martin Heidegger's,1
Germany,Oswald Spengler's,1
Germany,the Frankfurt School,1
Germany,Bertelsmann,1
Germany,Axel Springer SE,1
Germany,ProSiebenSat.1 Media,1
Germany,the Skladanowsky Brothers,1
Germany,1895,1
Germany,Babelsberg Studio,1
Germany,1912,1
Germany,Robert Wiene,1
Germany,Friedrich Wilhelm Murnau,1
Germany,Fritz Lang's,1
Germany,1927,1
Germany,1945,1
Germany,the 1970s and,1
Germany,1980s,1
Germany,New German,1
Germany,Volker Schlndorff,1
Germany,Werner Herzog,1
Germany,Wim Wenders,1
Germany,Rainer Werner Fassbinder,1
Germany,West German,2
Germany,The Academy Award for Best Foreign Language Film,1
Germany,Oscar,1
Germany,The Tin Drum ( Cuisine German,1
Germany,Bavaria,1
Germany,Swabia,1
Germany,sushi,1
Germany,Chinese,1
Germany,Greek,1
Germany,Indian,1
Germany,about 600,1
Germany,"1,200",1
Germany,Michelin Guide,1
Germany,300,1
Germany,Sports Football,1
Germany,more than 7million,1
Germany,the German Football Association,1
Germany,Deutscher Fuball-Bund,1
Germany,BMW,1
Germany,Mercedes-Mercedes,1
Germany,Porsche,1
Germany,the 24 Hours,1
Germany,Le Mans,1
Germany,19,1
Germany,Audi 13,1
Germany,the Olympic Games,1
Germany,Olympic Games,1
Germany,winter,1
Germany,the same year,1
Germany,1936,1
Germany,the Berlin Summer Games,1
Germany,the Winter Games,1
Germany,Garmisch-Partenkirchen,1
Germany,the Federal Government,1
Germany,the BBC News,1
Germany,The World Factbook,1
Germany,Central Intelligence Agency,1
Germany,the Organisation for Economic Co-OECD,1
Germany,EU,1
Germany,Navboxes,1
